date,reality,green1,green2,green3,blue1,blue2,blue3
2020-W40,3397,3397,3397,3397,3397,3397,3397
2020-W41,4073,4073,4073,4073,4073,4073,4073
2020-W42,6657,6657,6657,6657,6657,6657,6657
2020-W43,10576,10576,10576,10576,10576,10576,10576
2020-W44,15757,15757,15757,15757,15757,15757,15757
2020-W45,17410,17410,17410,17410,17410,17410,17410
2020-W46,12884,12884,12884,12884,12884,12884,12884
2020-W47,9622,9622,9622,9622,9622,9622,9622
2020-W48,8054,8054,8054,8054,8054,8054,8054
2020-W49,7349,7349,7349,7349,7349,7349,7349
2020-W50,6483,6483,6483,6483,6483,6483,6483
2020-W51,6763,6763,6763,6763,6763,6763,6763
2020-W52,6757,6757,6757,6757,6757,6757,6757
2020-W53,6984,6984,6984,6984,6984,6984,6984
2021-W01,7332,7332,7332,7332,7332,7332,7332
2021-W02,,7683,7843,7921,7917,7909,7982
2021-W03,,7675,8095,9007,8015,8180,9217
2021-W04,,7863,8602,10663,8239,8801,11145
2021-W05,,8105,9667,12807,8609,10170,13946
2021-W06,,8370,10690,16089,9298,12013,19241
2021-W07,,8832,12330,20082,10570,14997,27290
2021-W08,,9530,14697,26623,12769,20953,35000
2021-W09,,10400,18178,34680,17058,30780,
2021-W10,,12183,24125,,23939,,
2021-W11,,14479,31666,,33664,,
2021-W12,,18252,,,,,
2021-W13,,23428,,,,,
2021-W14,,29494,,,,,