date,reality,new_hosp_3A_R_1,new_hosp_3A_R_1_1,new_hosp_3A_R_1_2,new_hosp_3A_R_1_3,new_hosp_3C_R_1,new_hosp_3C_R_1_1,new_hosp_3C_R_1_2,new_hosp_3C_R_1_3,new_hosp_3E
2021-04-01,1859.49791,1752.964176,,,,1744.782663,,,,1770.613896
2021-04-02,1789.795865,1747.734588,,,,1761.266368,,,,1784.416344
2021-04-03,1637.979309,1755.588901,,,,1756.63497,,,,1770.749607
2021-04-04,1516.434069,1767.941046,,,,1766.115815,,,,1774.448611
2021-04-05,1756.880507,1756.130845,,,,1766.687303,,,,1756.37476
2021-04-06,1863.916102,1759.144059,,,,1756.491195,,,,1756.895417
2021-04-07,1847.937672,1765.758451,,,,1758.137192,,,,1751.159425
2021-04-08,1835.23058,1767.494595,,,,1766.265042,,,,1766.031161
2021-04-09,1818.864493,1756.49407,,,,1760.754093,,,,1757.939725
2021-04-10,1614.02859,1764.727156,,,,1747.201451,,,,1746.237874
2021-04-11,1578.608967,1748.70345,,,,1732.744866,,,,1734.909944
2021-04-12,1821.668263,1730.592833,,,,1718.375884,,,,1715.07339
2021-04-13,1816.095234,1713.547509,,,,1712.380159,,,,1698.17108
2021-04-14,1725.612405,1709.348793,,,,1698.905097,,,,1686.98617
2021-04-15,1685.260327,1690.04636,,,,1681.933775,,,,1671.402716
2021-04-16,1583.873226,1679.355947,,,,1658.287709,,,,1658.426696
2021-04-17,1433.172151,1641.678549,,,,1636.735106,,,,1629.417416
2021-04-18,1493.815545,1630.164593,,,,1613.266582,,,,1619.671151
2021-04-19,1657.004597,1615.504033,,,,1604.109367,,,,1578.057066
2021-04-20,1708.866912,1563.546956,,,,1570.553925,,,,1547.202515
2021-04-21,1640.116498,1554.838358,,,,1547.192183,,,,1524.404896
2021-04-22,1564.279787,1537.820931,,,,1524.043859,,,,1499.590432
2021-04-23,1535.914182,1509.934951,,,,1501.459907,,,,1443.696835
2021-04-24,1305.413966,1481.731008,,,,1483.904286,,,,1438.92366
2021-04-25,1310.054863,1462.640929,,,,1448.158976,,,,1405.326727
2021-04-26,1442.959447,1437.853423,,,,1437.957828,,,,1387.528083
2021-04-27,1451.507198,1417.938888,,,,1387.836021,,,,1360.580174
2021-04-28,1381.733649,1394.643416,,,,1373.828752,,,,1328.045833
2021-04-29,1325.001792,1346.319753,,,,1351.418782,,,,1309.447475
2021-04-30,1201.503104,1312.292723,,,,1312.535461,,,,1234.881498
2021-05-01,1064.818917,1223.049851,,,,1245.517344,,,,1177.607303
2021-05-02,925.5376159,1162.620459,,,,1168.326431,,,,1121.887806
2021-05-03,1069.466833,1138.153704,,,,1097.397841,,,,1052.423357
2021-05-04,1096.897683,1053.184948,,,,1061.12327,,,,1022.209525
2021-05-05,1032.452264,1012.488427,,,,972.3647409,,,,961.717386
2021-05-06,973.6553501,920.1421666,,,,946.9447307,,,,911.8287365
2021-05-07,833.6481672,834.685081,,,,921.2387487,,,,841.3005605
2021-05-08,714.7892752,797.0543409,,,,867.052223,,,,820.5406683
2021-05-09,780.3901712,748.1859409,,,,813.6517909,,,,769.7131874
2021-05-10,821.276785,719.2002211,,,,789.0701613,,,,717.5229431
2021-05-11,764.7675247,680.3787272,,,,751.9211836,,,,670.7593357
2021-05-12,604.9070734,627.7635106,,,,694.2613048,,,,633.4791739
2021-05-13,569.5329968,586.0611981,,,,643.0177639,,,,573.3318135
2021-05-14,,579.7712477,,,,598.9611642,,,,557.8897101
2021-05-15,,549.8954854,,,,559.4642679,,,,537.091092
2021-05-16,,519.9546673,,,,518.8443747,,,,500.0834305
2021-05-17,,491.7069508,,,,478.4848703,,,,476.0377938
2021-05-18,,454.081569,,,,449.0396551,,,,456.9269998
2021-05-19,,442.6672454,,,,422.5695521,,,,428.6219376
2021-05-20,,406.9234539,,,,399.8923595,,,,409.1566454
2021-05-21,,380.8650784,,,,382.6758599,,,,382.6635467
2021-05-22,,358.6775293,,,,359.8215686,,,,361.5984572
2021-05-23,,344.0415837,,,,345.7386365,,,,338.6343449
2021-05-24,,324.2261758,,,,336.3844809,,,,322.8375968
2021-05-25,,312.9389771,,,,314.9541806,,,,299.7003153
2021-05-26,,291.8994052,,320.454294,319.9916601,290.9288465,,,,287.9269461
2021-05-27,,285.7726064,,314.7880541,314.7387573,275.4431238,,,298.9160443,261.6571046
2021-05-28,,276.2964241,,310.0045043,309.5427828,258.8253534,,,292.3934199,236.1249454
2021-05-29,,269.9511494,281.3068408,309.9003033,307.6406117,250.1981523,258.7786427,,286.032748,221.742339
2021-05-30,,263.9029009,275.9375263,309.3763773,302.5370686,236.1461114,252.7282075,273.5498052,277.7063364,214.4519232
2021-05-31,,256.1930279,270.6967159,312.4543767,307.3436609,222.6509133,243.6730245,268.8051042,277.5526227,194.8370934
2021-06-01,,252.4372996,271.1429059,310.0319061,318.4530087,218.5118979,234.6400963,264.3819387,268.4773497,185.0154613
2021-06-02,,241.7060924,271.0786954,310.0099781,318.8485839,207.8142689,234.6815933,254.7855786,262.9982772,169.8184495
2021-06-03,,237.3282001,266.3769524,314.7041395,329.3084813,203.6925343,222.8170472,252.5371413,260.858179,158.5253898
2021-06-04,,236.3085329,266.5608553,309.4898024,329.4571789,195.6238364,210.8153156,241.938157,263.5144835,149.1135738
2021-06-05,,227.86579,255.6688736,314.7761062,343.1966619,194.1874718,207.0829708,236.219486,264.8498695,143.0552676
2021-06-06,,227.8820362,256.4609179,315.8937681,344.0809697,185.3890886,201.7948237,235.5004057,264.9865864,133.3919086
2021-06-07,,218.8266478,253.9026947,304.7034288,348.6478735,180.9850741,201.2291153,239.19943,260.7274942,123.8772874
2021-06-08,,216.7755044,251.9177242,299.8740671,353.9724433,171.717582,188.0512589,230.265221,260.673929,116.6807223
2021-06-09,,213.1541176,252.0747276,300.2426711,357.7380835,165.8581544,184.213749,230.0703502,260.6599804,111.5274089
2021-06-10,,203.402382,242.1582255,300.2747097,358.3196542,159.7645989,172.1346906,224.2769011,260.5474062,90.73459818
2021-06-11,,198.1633694,242.1059388,295.9401351,372.8405093,151.7293864,167.6582768,217.400592,257.5650562,89.85520732
2021-06-12,,193.6874117,242.121872,300.1107469,374.5122341,147.5976468,160.8627647,214.6236127,256.496115,84.84393754
2021-06-13,,189.8577483,242.1551403,300.222044,385.5244697,138.7652742,168.1894454,218.6052556,256.460383,76.74267172
2021-06-14,,184.1079542,242.6791347,300.2289137,386.931944,129.8605895,164.1935044,205.3577447,255.9348265,73.26282575
2021-06-15,,180.3642962,237.5925632,300.2047129,396.7033717,125.8352873,158.1488355,201.8565469,252.3758774,67.33319928
2021-06-16,,174.9817634,236.4013725,299.9630779,402.1638448,119.5994396,155.4384541,200.3094779,252.268223,64.16062947
2021-06-17,,174.3298082,232.4892576,309.8728489,406.6738194,118.6506195,150.3754533,193.1441107,252.2904146,66.27432972
2021-06-18,,174.6095136,232.0775132,310.393534,416.7644137,108.3654575,150.5072735,193.4151885,252.6528859,57.92557711
2021-06-19,,165.0838482,222.4211207,314.6111636,418.8800982,109.5321563,147.3971839,193.5971621,247.9544183,58.71326786
2021-06-20,,163.7600292,223.260555,314.3343799,429.2352771,100.5777377,147.1769861,189.2204637,248.4303704,53.524763
2021-06-21,,161.2595369,220.1830186,320.1859648,440.4294864,100.2843794,141.8313,188.4483466,256.2551335,48.55723084
2021-06-22,,162.0229854,222.6439948,323.1017698,448.6448477,92.16392193,139.2729197,185.1261509,256.3323131,48.53103358
2021-06-23,,154.7584383,222.7482655,324.0025838,450.4377133,92.57562841,136.730976,185.2724578,253.8500438,48.80153484
2021-06-24,,150.1773597,222.7519616,329.2328881,464.8029462,93.99129858,134.0029082,176.9966539,256.8464693,40.52794738
2021-06-25,,149.7585854,222.7929596,328.6892781,475.7333357,83.35628061,130.8472615,177.3865449,256.4765671,38.86888362
2021-06-26,,140.0748649,224.1589754,341.0215678,485.1954007,79.932411,126.2246768,176.5675449,256.4621837,38.80982911
2021-06-27,,140.4054888,222.0931863,343.7538468,490.4210124,75.34885879,126.082755,172.1106818,256.4621349,38.80794418
2021-06-28,,140.4657371,222.7111535,343.953042,500.0644429,70.60092894,125.1346173,172.0532508,256.4667274,38.80674643
2021-06-29,,140.9364616,222.7502604,347.4213879,514.4351725,67.41851654,122.1087526,175.6927453,256.5622281,38.77524992
2021-06-30,,135.4261044,222.7522777,352.4610952,522.5992672,67.61012831,122.9977449,167.9208872,258.9177742,38.19357713
2021-07-01,,135.5868727,222.7523531,358.3558,532.5992132,59.71328263,116.8471902,168.1585832,260.591531,40.76780025