date,reality,Median,Relaxation,Strenghtening
2020-W41,4996,4996,,
2020-W42,7641,7641,,
2020-W43,11521,11521,,
2020-W44,15283,15283,,
2020-W45,16282,16282,,
2020-W46,14048,14048,,
2020-W47,10228,10228,,
2020-W48,7877,7877,,
2020-W49,7289,7289,,
2020-W50,6877,6877,,
2020-W51,6936,6936,,
2020-W52,6407,6407,,
2020-W53,6760,6760,,
2021-W01,7759,7759,,
2021-W02,8582,7972,7875,8166
2021-W03,9581,8733,9091,9018
2021-W04,9522,9094,9069,9103
2021-W05,9699,9132,9152,9048
2021-W06,,9757,9640,9533
2021-W07,,10420,10592,10057
2021-W08,,11650,13268,10495
2021-W09,,13664,17528,10585
2021-W10,,17005,23878,11493
2021-W11,,21400,33771,13040
2021-W12,,27098,,14567