date,reality,scenario
2021-01-15,2679,2730
2021-01-16,2725,2668
2021-01-17,2774,2725
2021-01-18,2788,2824
2021-01-19,2814,2872
2021-01-20,2859,2803
2021-01-21,2914,2825
2021-01-22,2914,2842
2021-01-23,2970,2903
2021-01-24,3080,2914
2021-01-25,3114,2956
2021-01-26,3127,3010
2021-01-27,3148,3034
2021-01-28,3136,3047
2021-01-29,3125,3041
2021-01-30,3173,3093
2021-01-31,3219,3159
2021-02-01,3238,3170
2021-02-02,3249,3192
2021-02-03,3238,3185
2021-02-04,3237,3265
2021-02-05,3248,3304
2021-02-06,3283,3349
2021-02-07,3354,3315
2021-02-08,3387,3374
2021-02-09,3401,3419
2021-02-10,3222,3427
2021-02-11,3222,3460
2021-02-12,3365,3471
2021-02-13,3335,3492
2021-02-14,3381,3515
2021-02-15,3425,3538
2021-02-16,3405,3538
2021-02-17,3327,3572
2021-02-18,3250,3593
2021-02-19,3362,3628
2021-02-20,3351,3635
2021-02-21,3485,3651
2021-02-22,3525,3673
2021-02-23,3473,3706
2021-02-24,3414,3718
2021-02-25,3495,3739
2021-02-26,3515,3761
2021-02-27,3606,3761
2021-02-28,3594,3784
2021-03-01,3534,3817
2021-03-02,3532,3839
2021-03-03,3521,3840
2021-03-04,3618,3875
2021-03-05,3811,3879
2021-03-06,3867,3919
2021-03-07,3917,3910
2021-03-08,3894,3951
2021-03-09,3972,3983
2021-03-10,3983,4009
2021-03-11,3954,4052
2021-03-12,4047,4096
2021-03-13,4116,4137
2021-03-14,4180,4183
2021-03-15,4196,4218
2021-03-16,4185,4222
2021-03-17,4222,4272
2021-03-18,4267,4318
2021-03-19,4381,4383
2021-03-20,4463,4456
2021-03-21,4652,4499
2021-03-22,4598,4575
2021-03-23,4628,4628
2021-03-24,4685,4664
2021-03-25,4735,4730
2021-03-26,4841,4784
2021-03-27,4972,4863
2021-03-28,5016,4923
2021-03-29,5049,5003
2021-03-30,5073,5081
2021-03-31,5127,5158
2021-04-01,5228,5226
2021-04-02,5329,5349
2021-04-03,5420,5427
2021-04-04,5535,5538
2021-04-05,5623,5622
2021-04-06,5735,5743
2021-04-07,5607,5887
2021-04-08,5706,6020
2021-04-09,5786,6180
2021-04-10,5895,6340
2021-04-11,5913,6506
2021-04-12,5917,6678
2021-04-13,5839,6851
2021-04-14,5849,7027
2021-04-15,5804,7234
2021-04-16,5846,7487
2021-04-17,5934,7708
2021-04-18,5906,7938
2021-04-19,5885,8147