date,Median,Relaxation,Strenghtening,reality_report,reality
2020-10-08,713.7142857,NA,NA,713.7142857,711.8571429
2020-10-15,1091.571429,NA,NA,1091.571429,1093.285714
2020-10-22,1645.857143,NA,NA,1645.857143,1645.857143
2020-10-29,2183.285714,NA,NA,2183.285714,2175.857143
2020-11-05,2326,NA,NA,2326,2322.142857
2020-11-12,2006.857143,NA,NA,2006.857143,1991.714286
2020-11-19,1461.142857,NA,NA,1461.142857,1454
2020-11-26,1125.285714,NA,NA,1125.285714,1100.714286
2020-12-03,1041.285714,NA,NA,1041.285714,1028.857143
2020-12-10,982.4285714,NA,NA,982.4285714,984.8571429
2020-12-17,990.8571429,NA,NA,990.8571429,985.1428571
2020-12-24,915.2857143,NA,NA,915.2857143,899.4285714
2020-12-31,965.7142857,NA,NA,965.7142857,953.1428571
2021-01-07,1108.428571,NA,NA,1108.428571,1081.714286
2021-01-14,1138.857143,1125,1166.571429,1226,1221.714286
2021-01-21,1247.571429,1298.714286,1288.285714,1368.714286,1348.714286
2021-01-28,1299.142857,1295.571429,1300.428571,1360.285714,1330
2021-02-04,1304.571429,1307.428571,1292.571429,1385.571429,1327.857143
2021-02-11,1393.857143,1377.142857,1361.857143,NA,1164.571429
2021-02-18,1488.571429,1513.142857,1436.714286,NA,1143.571429
2021-02-25,1664.285714,1895.428571,1499.285714,NA,1184.285714
2021-03-04,1952,2504,1512.142857,NA,1214
2021-03-11,2429.285714,3411.142857,1641.857143,NA,1267.714286
2021-03-18,3057.142857,4824.428571,1862.857143,NA,1459
2021-03-25,3871.142857,NA,2081,NA,1634.857143