date,reality,blue,green,red
2021/12/01,881,818,818,818
2021/12/02,916,828,828,828
2021/12/03,913,849,849,849
2021/12/04,791,918,918,918
2021/12/05,810,915,915,915
2021/12/06,"1,109",906,906,906
2021/12/07,"1,157",969,969,969
2021/12/08,"1,059",979,979,979
2021/12/09,"1,055",987,987,987
2021/12/10,"1,077","1,020","1,020","1,020"
2021/12/11,872,"1,056","1,056","1,056"
2021/12/12,864,"1,070","1,070","1,070"
2021/12/13,"1,111","1,035","1,035","1,035"
2021/12/14,"1,146","1,020","1,020","1,020"
2021/12/15,"1,133","1,043","1,043","1,043"
2021/12/16,"1,091","1,030","1,030","1,030"
2021/12/17,"1,069","1,073","1,073","1,073"
2021/12/18,875,"1,057","1,057","1,057"
2021/12/19,869,"1,056","1,056","1,056"
2021/12/20,"1,187","1,033","1,033","1,033"
2021/12/21,"1,222","1,057","1,057","1,057"
2021/12/22,"1,213","1,066","1,066","1,066"
2021/12/23,"1,195","1,082","1,082","1,082"
2021/12/24,"1,131","1,102","1,102","1,102"
2021/12/25,"1,049","1,124","1,124","1,124"
2021/12/26,"1,113","1,134","1,134","1,134"
2021/12/27,"1,368","1,170","1,170","1,170"
2021/12/28,"1,535","1,195","1,195","1,195"
2021/12/29,"1,561","1,253","1,253","1,253"
2021/12/30,"1,549","1,297","1,297","1,297"
2021/12/31,"1,438","1,318","1,318","1,318"
2022/01/01,"1,283","1,406","1,406","1,406"
2022/01/02,"1,285","1,486","1,486","1,486"
2022/01/03,"1,693","1,496","1,496","1,496"
2022/01/04,,"1,635","1,635","1,635"
2022/01/05,,"1,753","1,753","1,753"
2022/01/06,,"1,858","1,858","1,858"
2022/01/07,,"1,950","2,064",2108.269872
2022/01/08,,"2,057","2,195",2258.013909
2022/01/09,,"2,199","2,302",2452.932046
2022/01/10,,"2,293","2,452",2599.90129
2022/01/11,,"2,421","2,642",2816.51189
2022/01/12,,"2,516","2,792",3080.182664
2022/01/13,,"2,592","2,958",3318.885032
2022/01/14,,"2,692","3,130",3601.415302
2022/01/15,,"2,795","3,323",3827.073533
2022/01/16,,"2,885","3,479",4063.874668
2022/01/17,,"2,980","3,612",4315.332339
2022/01/18,,"3,022","3,766",4572.902662
2022/01/19,,"3,108","3,891",4787.552602
2022/01/20,,"3,187","4,039",4919.845993
2022/01/21,,"3,248","4,107",5087.228649
2022/01/22,,"3,234","4,166",5205.591419
2022/01/23,,"3,248","4,214",5272.915116
2022/01/24,,"3,263","4,255",5317.930503
2022/01/25,,"3,250","4,244",5338.507081
2022/01/26,,"3,239","4,207",5274.514971
2022/01/27,,"3,182","4,164",5190.78561
2022/01/28,,"3,123","4,079",5049.269377
2022/01/29,,"3,030","3,996",4962.791042
2022/01/30,,"2,978","3,893",4811.185563
2022/01/31,,"2,920","3,814",4606.391351
2022/02/01,,"2,856","3,674",4447.705314
2022/02/02,,"2,748","3,509",4252.961724
2022/02/03,,"2,654","3,382",4001.694133
2022/02/04,,"2,540","3,255",3765.772142
2022/02/05,,"2,448","3,061",3545.765086
2022/02/06,,"2,351","2,894",3366.520245
2022/02/07,,"2,243","2,754",3170.074405
2022/02/08,,"2,124","2,599",2912.093715
2022/02/09,,"2,032","2,451",2735.880281
2022/02/10,,"1,929","2,357",2548.119198
2022/02/11,,"1,818","2,191",2373.04951
2022/02/12,,"1,755","2,053",2211.284768
2022/02/13,,"1,624","1,889",2040.38758
2022/02/14,,"1,518","1,778",1894.734817
2022/02/15,,"1,431","1,665",1772.539856
2022/02/16,,"1,346","1,547",1623.019747
2022/02/17,,"1,260","1,455",1510.945671
2022/02/18,,"1,137","1,331","1,137"
2022/02/19,,"1,070","1,231","1,070"
2022/02/20,,"1,011","1,136","1,011"
2022/02/21,,954,"1,045",954
2022/02/22,,894,968,894
2022/02/23,,848,908,848
2022/02/24,,790,842,790
2022/02/25,,742,742,742
2022/02/26,,669,669,669
2022/02/27,,630,630,630
2022/02/28,,612,612,612
2022/03/01,,567,567,567
2022/03/02,,530,530,530
2022/03/03,,489,489,489
2022/03/04,,454,454,454
2022/03/05,,417,417,417
2022/03/06,,405,405,405
2022/03/07,,362,362,362
2022/03/08,,315,315,315
2022/03/09,,293,293,293
2022/03/10,,304,304,304
2022/03/11,,264,264,264
2022/03/12,,253,253,253
2022/03/13,,201,201,201
2022/03/14,,176,176,176
2022/03/15,,176,176,176
2022/03/16,,163,163,163
2022/03/17,,151,151,151
2022/03/18,,141,141,141
2022/03/19,,126,126,126
2022/03/20,,126,126,126
2022/03/21,,127,127,127
2022/03/22,,126,126,126
2022/03/23,,124,124,124
2022/03/24,,100,100,100
2022/03/25,,76,76,76
2022/03/26,,63,63,63
2022/03/27,,63,63,63
2022/03/28,,51,51,51
2022/03/29,,51,51,51
2022/03/30,,76,76,76
2022/03/31,,67,67,67