date,low,high,median,reality_report,reality
2021-01-10,NA,NA,NA,NA,1217
2021-01-11,NA,NA,NA,NA,1237
2021-01-12,NA,NA,NA,NA,1257
2021-01-13,NA,NA,NA,NA,1278
2021-01-14,NA,NA,NA,NA,1299
2021-01-15,NA,NA,NA,1442,1320
2021-01-16,1350,1350,1350,1100,1341
2021-01-17,1372,1372,1372,881,1362
2021-01-18,1400,1400,1400,1467,1380
2021-01-19,1413,1413,1413,1565,1395
2021-01-20,1451,1451,1451,1419,1407
2021-01-21,1487,1487,1487,NA,1417
2021-01-22,1521,1521,1521,1518,1423
2021-01-23,1547,1547,1547,1177,1428
2021-01-24,1567,1567,1567,1006,1431
2021-01-25,1574,1600,1587,1616,1433
2021-01-26,1582,1634,1608,NA,1434
2021-01-27,1589,1667,1628,1568,1435
2021-01-28,1596,1700,1648,1398,1435
2021-01-29,1603,1733,1668,1533,1434
2021-01-30,1611,1767,1689,1179,1431
2021-01-31,1618,1800,1709,1058,1427
2021-02-01,1625,1833,1729,1705,1420
2021-02-02,1649,1851,1750,1632,1411
2021-02-03,1669,1876,"1772,5",NA,1400
2021-02-04,1662,1901,"1781,5",NA,1386
2021-02-05,1662,1918,1790,NA,1370
2021-02-06,1660,1943,"1801,5",NA,1351
2021-02-07,1652,1980,1816,NA,1330
2021-02-08,1652,2006,1829,NA,1309
2021-02-09,1652,2032,1842,NA,1287
2021-02-10,1653,2060,"1856,5",NA,1267
2021-02-11,1643,2100,"1871,5",NA,1249
2021-02-12,1642,2140,1891,NA,1235
2021-02-13,1631,2172,"1901,5",NA,1223
2021-02-14,1621,2203,1912,NA,1215
2021-02-15,1622,2257,"1939,5",NA,1211
2021-02-16,1617,2287,1952,NA,1210
2021-02-17,1602,2343,"1972,5",NA,1212
2021-02-18,1602,2393,"1997,5",NA,1216
2021-02-19,1604,2452,2028,NA,1222
2021-02-20,1583,2499,2041,NA,1230
2021-02-21,1583,2562,"2072,5",NA,1239
2021-02-22,1562,2616,2089,NA,1248
2021-02-23,1563,2684,"2123,5",NA,1258
2021-02-24,1542,2752,2147,NA,1266
2021-02-25,1542,2822,2182,NA,1273
2021-02-26,1522,2916,2219,NA,1279
2021-02-27,1523,2998,"2260,5",NA,1282
2021-02-28,1503,3088,"2295,5",NA,1284
2021-03-01,1505,3154,"2329,5",NA,1285
2021-03-02,1484,3244,2364,NA,1287