date,reality,high,median,low
2021-12-01,1954,,,
2021-12-02,2031,,,
2021-12-03,2103,,,
2021-12-04,2178,,,
2021-12-05,2264,,,
2021-12-06,2352,,,
2021-12-07,2414,,,
2021-12-08,2501,,,
2021-12-09,2569,,,
2021-12-10,2668,,,
2021-12-11,2748,,,
2021-12-12,2827,,,
2021-12-13,2871,,,
2021-12-14,2901,,,
2021-12-15,2932,,,
2021-12-16,2960,,,
2021-12-17,3018,,,
2021-12-18,3044,,,
2021-12-19,3065,3135,3097,
2021-12-20,3157,3169,3153,3103
2021-12-21,3244,3163,3185,3134
2021-12-22,3283,3210,3201,3209
2021-12-23,3331,3237,3227,3255
2021-12-24,3322,3294,3242,3296
2021-12-25,3360,3330,3292,3292
2021-12-26,3405,3327,3340,3302
2021-12-27,3456,3323,3384,3331
2021-12-28,3561,3389,3417,3368
2021-12-29,3518,3387,3459,3387
2021-12-30,3575,3388,3452,3414
2021-12-31,3552,3435,3490,3472
2022-01-01,3660,3507,3522,3475
2022-01-02,3619,3534,3579,3517
2022-01-03,3705,3543,3607,3544
2022-01-04,3777,3586,3623,3579
2022-01-05,3806,3621,3605,3604
2022-01-06,3882,3658,3658,3648
2022-01-07,3895,3713,3724,3683
2022-01-08,3954,3746,3773,3718
2022-01-09,3912,3804,3787,3753
2022-01-10,3901,3851,3829,3788
2022-01-11,3859,3952,3868,3811
2022-01-12,3817,4036,3912,3875
2022-01-13,3800,4093,3942,3860
2022-01-14,3864,4171,4020,3936
2022-01-15,3829,4240,4074,3929
2022-01-16,3811,4321,4129,3980
2022-01-17,3788,4380,4180,3991
2022-01-18,3680,4482,4232,4007
2022-01-19,3650,4607,4292,4025
2022-01-20,3630,4717,4343,4028
2022-01-21,3666,4807,4392,4032
2022-01-22,3656,4913,4431,4039
2022-01-23,3625,5005,4473,4024
2022-01-24,3573,5099,4500,4023
2022-01-25,3546,5145,4526,4005
2022-01-26,3487,5200,4539,3977
2022-01-27,3525,5235,4548,3951
2022-01-28,3582,5280,4540,3916
2022-01-29,3624,5296,4539,3872
2022-01-30,3601,5287,4511,3821
2022-01-31,3555,5272,4486,3783
2022-02-01,3497,5245,4448,3719
2022-02-02,3428,5222,4400,3651
2022-02-03,3460,5187,4347,3600
2022-02-04,3484,5136,4277,3470
2022-02-05,3475,5055,4204,3410
2022-02-06,3445,4938,4129,3356
2022-02-07,3404,4824,4035,3276
2022-02-08,3343,4705,3957,3159
2022-02-09,3201,4624,3860,3071
2022-02-10,3205,4545,3756,3004
2022-02-11,3112,4467,3657,2915
2022-02-12,,4350,3553,2832
2022-02-13,,4216,3442,2736
2022-02-14,,4106,3329,2647
2022-02-15,,3929,3220,2556
2022-02-16,,3798,3118,2459
2022-02-17,,3648,3007,2367
2022-02-18,,3504,2887,2280
2022-02-19,,3344,2781,2193
2022-02-20,,3202,2676,2107
2022-02-21,,3049,2570,2020
2022-02-22,,2956,2461,1940
2022-02-23,,2821,2356,1857
2022-02-24,,2733,2252,1778
2022-02-25,,2588,2155,1700
2022-02-26,,2484,2055,1621
2022-02-27,,2365,1968,1552
2022-02-28,,2249,1874,1483
2022-03-01,,2153,1779,1413
2022-03-02,,2079,1691,1352
2022-03-03,,1923,1621,1285
2022-03-04,,1815,1537,1226
2022-03-05,,1692,1458,1176
2022-03-06,,1572,1381,1114
2022-03-07,,1502,1311,1055
2022-03-08,,1426,1252,1002
2022-03-09,,1356,1196,961
2022-03-10,,1292,1126,909
2022-03-11,,1208,1074,858
2022-03-12,,1146,1013,814
2022-03-13,,1069,953,771
2022-03-14,,1031,906,728
2022-03-15,,980,860,686
2022-03-16,,924,809,651
2022-03-17,,880,756,615
2022-03-18,,820,720,580
2022-03-19,,789,683,547
2022-03-20,,751,634,518
2022-03-21,,717,600,485
2022-03-22,,656,565,465
2022-03-23,,623,530,431
2022-03-24,,602,505,413
2022-03-25,,574,475,380
2022-03-26,,538,443,367
2022-03-27,,508,416,341
2022-03-28,,481,389,315
2022-03-29,,454,363,298
2022-03-30,,435,341,287